COUNTRY,RETAILER,RETAILER_UPC,RETAILER_UPC_DESC,RETAILER_UPC_UOM_FACTOR,RETAILER_ITEM_CODE,RETAILER_NBR,MATERIAL,BASE_UOM,BASE_UOM_UPC,MATERIAL_DIST_CHNL_STATUS,MATERIAL_DIST_CHNL_STATUS_RANK,MATERIAL_BASE_UOM_RANK,PROD_HIER,UOM_EA_EANUPC,UOM_CSE_EAN13_EANUPC,UOM_CSE_ITF14_EANUPC,UOM_CSE_UCC12_EANUPC,UOM_DS_ITF14_EANUPC,UOM_DS_UCC12_EANUPC,UOM_MO_ITF14_EANUPC,UOM_MO_UCC12_EANUPC,UOM_PAL_ITF14_EANUPC,UOM_ZIN_UCC12_EANUPC
CA01,Sobeys,6810089312,KRAFT DRS FRT&VG BERYBLSMIC 414 ML - 6810089312,414ML,342132,CA2000341,000000681008931200,CSE,10068100893127,05,3,1,054010603380PS37QE,68100893120,,10068100893127,,,,,,20068100893124,
CA01,SAVE ON FOODS,6618806160,COOL WHIP LIGHTDESSERT TOPPING 1L L,,1054887,CA2000316,000000661880616000,CSE,10066188061605,03,1,1,029005700084DH6OQ5,66188061608,,10066188061605,,,,,,20066188061602,
CA01,FEDERATED CO-OP,6618807444,JELLO JELLY POWDER LEMON,1KG,,CA2000248,000000661881744400,CSE,66188174445,03,1,1,1370455015883WA1O3,66188074448,,,66188174445,,,,,20066188174449,
CA01,Costco Canada,,MARBLE CHED SLICES 12/1KG 9T5H 9219 WCSL 40,,000292160,CA2000229,000000681008921900,CSE,10068100892199,03,1,1,1340448015752TT0V8,68100892192,,10068100892199,,,,,,20068100892196,
CA01,LCL,6038386348,,,,CA2000287,000000603838634800,CSE,10060383863484,05,3,1,1941182027272JKLNN,60383863487,,10060383863484,,,,,,20060383863481,
CA01,LCL,6618800259,,,,CA2000287,000000661880025900,CSE,10066188002592,05,3,1,064055101661PR56XM,66188002595,,10066188002592,,,,,,20066188002599,
CA01,SAVE ON FOODS,6020000135,TASSIMO NABOB BOLDMIDNIGHT ECLIPSE 12PK PK,,3142719,CA2000316,000000602000013500,CSE,10060200001358,03,1,1,064056501207DX99XO,60200001351,,10060200001358,,,,,,20060200001355,
CA01,Walmart,6618807090,KA JMMRS BR,,9222486,CA2000358,000000661880709000,CSE,10066188070904,03,1,1,050016200412GL2QR6,66188070907,,10066188070904,,,,,,20066188070901,
CA01,SAVE ON FOODS,5700003410,HNZ STRND ORG PEACHBAN APRICOT POUCH 128ML ML,,2774328,CA2000316,000000570000341000,CSE,10057000034105,03,1,1,1941312033905KKE6Q,57000034108,,10057000034105,,,,,,20057000034102,
CA01,LCL,6228761218,,,,CA2000287,000000622876121800,CSE,10062287612182,03,1,1,1351413034253SY18H,62287612185,,10062287612182,,,,,,20062287612189,
CA01,LCL,6038311307,,,,CA2000287,000000603831130700,CSE,60383113070,05,3,1,1400467027687JWKMY,,,,60383113070,,,,,20060383113074,
CA01,Quality Foods,6810089235,KRAFT CHEEZ WHIZ ORIGINAL,6/900GR,,CA2000281,000000681008923500,CSE,10068100892359,03,1,1,001022000079PS93QF,68100892352,,10068100892359,,,,,,20068100892356,
CA01,Shoppers Drug Mart,57000330026,CLASSICO SAUCE PORT MUSHROOM 650ML (057000330026),650ML,,CA2000295,000000570003300200,CSE,10057000330023,03,1,1,2341186027329JL2O7,57000330026,,10057000330023,,,,,,20057000330020,
CA01,Sobeys,6618811700,JELLO SNACKS GEL STRWBRY&ORNG 594 G - 6618811700,594G,573713,CA2000341,000000661881170000,CSE,10066188117005,05,3,1,048014800235DS8PA3,66188117008,,10066188117005,,,,,,20066188117002,
CA01,Sobeys,6618806859,CRYSTLGT DRK CHRY POME 4PK 37.600 G - 6618806859,37.600G,236941,CA2000341,000000661880685900,CSE,10066188068598,03,1,1,061018500439DE1QS8,66188068591,,10066188068598,,,,,,20066188068595,
CA01,Pasquier,6020000142,,,,CA2000318,000000602000015600,CSE,60200001566,03,1,1,189056102569VI09V1,60200001429,,,60200001566,,,,,20060200001560,
CA01,Walmart,6810004133,KFT RUSSIAN,,9216347,CA2000358,000000681000413300,CSE,10068100041337,03,1,1,054010603382DT9PJ3,68100041330,,10068100041337,,,,,,20068100041334,
CA01,Shoppers Drug Mart,68100891003,KRAFT B-EYE BBQ SAUCE H GARLIC 425ML (068100891003),425ML,,CA2000295,000000681008910000,CSE,10068100891000,03,1,1,018002300072AF87MC,68100891003,,10068100891000,,,,,,20068100891007,
CA01,Shoppers Drug Mart,68100896398,KRAFT BBQ RANCH DRESSING 475ML (068100896398),475ML,,CA2000295,000000681008963900,CSE,10068100896395,03,1,1,054010603380DU1XC8,68100896398,,10068100896395,,,,,,20068100896392,
CA01,H.Y. LOUIE,5700000596,HEINZ PURE APPLE CIDER VINEGAR               ,,589556,CA2000261,000000570000059600,CSE,10057000005969,05,3,1,1660890027074AEAEP,57000005962,,10057000005969,,,,,,20057000005966,
CA01,H.Y. LOUIE,6810089654,CR BRL SPECIAL RESERVE HAVARTI               ,,721815,CA2000261,000000681008965400,CSE,10068100896548,05,3,1,012081502389WK3ABL,68100896541,,10068100896548,,,,,,20068100896545,
CA01,Sobeys,5700001021,HEINZ INFNT FD ORG BTSQPEARKAL 128 ML - 5700001021,128ML,951106,CA2000341,000000570000102100,CSE,10057000010215,03,1,1,1941312033905KKE6Q,57000010218,,10057000010215,,,,,,20057000010212,
CA01,Metro,5700000060,,,32265401,CA2000301,000000570000006000,CSE,10057000000605,03,1,1,0580883025894LBDHP,57000000608,,10057000000605,,,,,,20057000000602,
CA01,H.Y. LOUIE,6810004102,KRAFT.LIGHT DR RANCHERS CHOICE               ,,204793,CA2000261,000000681000410200,CSE,10068100041023,03,1,1,054010603382DT9PI7,68100041026,,10068100041023,,,,,,20068100041020,
CA01,Pasquier,6810004614,,,,CA2000318,000000681008909500,CSE,68100890952,03,1,1,054010603380DU1XC8,68100046144,,,68100890952,,,,,20068100890956,
CA01,LCL,6810004974,,,,CA2000287,000000681000497400,CSE,10068100049746,03,1,1,058011900280IF1VZ5,68100049749,,10068100049746,,,,,,20068100049743,
